RefSeq project ID,Project ID,NCBI Taxon ID,Organism Name,Super Kingdom,Group,Sequence Status,Genome Size,GC Content,Gram Stain,Shape,Arrangment,Endospores,Motility,Salinity,Oxygen Req,Habitat,Temp. range,Optimal temp.,Pathogenic in,Disease,Genbank accessions,Refseq accessions,KEGG ID,Has 1PFK,Has PPi PFK,Has ADP PFK,Has Any 1PFK,Has Rubisco,Has ZWF,Has 6PGL,Has Gluconate Dehydratase,Has EDD,Has Any Gluconate Dehydratase,Has EDA,Has Gluconokinase,Has Phosphoketolase
63621,63149,331636,Chlamydophila psittaci 6BC,Bacteria,Chlamydiae/Verrucomicrobia,complete,1.21,,,,,,,,,,,0,,,"CP002549,CP002550",0,chp,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58079,10700,264201,Candidatus Protochlamydia amoebophila UWE25,Bacteria,Chlamydiae/Verrucomicrobia,complete,2.41446,34.7,0,,,,,,,Host-associated,Mesophilic,0,Animal,Probable pneumonia agent,BX908798,0,pcu,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68335,49033,765952,Parachlamydia acanthamoebae UV7,Bacteria,Chlamydiae/Verrucomicrobia,complete,3.1,,,,,,,,,,,0,,,FR872580,0,puv,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
68451,49035,331113,Simkania negevensis Z,Bacteria,Chlamydiae/Verrucomicrobia,complete,2.63,,,,,,,,,,,0,,,"FR872581,FR872582",0,sng,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
49531,43761,716544,Waddlia chondrophila WSU 86-1044,Bacteria,Chlamydiae/Verrucomicrobia,complete,2.116,,0,,,,,,,,Mesophilic,0,,,"CP001928,CP001929",0,wch,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59185,29213,517417,Chlorobaculum parvum NCIB 8327,Bacteria,Bacteroidetes/Chlorobi,complete,2.3,55.8,,Rod,Singles,,,,Facultative,Aquatic,Mesophilic,0,No,,CP001099,0,cpc,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
57897,302,194439,Chlorobium tepidum TLS,Bacteria,Bacteroidetes/Chlorobi,complete,2.15495,56.5,,Rod,Singles,,,,Anaerobic,Specialized,Thermophilic,48,No,,AE006470,0,cte,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58375,13921,340177,Chlorobium chlorochromatii CaD3,Bacteria,Bacteroidetes/Chlorobi,complete,2.57208,44.3,0,Rod,,,No,,Anaerobic,Aquatic,Mesophilic,0,No,,CP000108,0,cch,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58127,12606,290315,Chlorobium limicola DSM 245,Bacteria,Bacteroidetes/Chlorobi,complete,2.76318,51.3,0,Rod,"Singles, Chains",,No,Mesophilic,Anaerobic,Aquatic,Mesophilic,0,No,None,CP001097,0,cli,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58131,12608,331678,Chlorobium phaeobacteroides BS1,Bacteria,Bacteroidetes/Chlorobi,complete,2.7364,48.9,0,Rod,,No,No,,,Aquatic,Mesophilic,0,No,None,CP001101,0,cpb,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58133,12609,290317,Chlorobium phaeobacteroides DSM 266,Bacteria,Bacteroidetes/Chlorobi,complete,3.1339,48.4,0,Rod,,No,No,Mesophilic,Facultative,Aquatic,Mesophilic,0,No,None,CP000492,0,cph,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58129,12607,290318,Chlorobium phaeovibrioides DSM 265,Bacteria,Bacteroidetes/Chlorobi,complete,1.96686,53,0,"Sphere, Oval",Spiral aggregates,No,No,Mesophilic,Facultative,Aquatic,Mesophilic,0,No,None,CP000607,0,pvi,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58175,13012,319225,Chlorobium luteolum DSM 273,Bacteria,Bacteroidetes/Chlorobi,complete,2.36484,57.3,0,"Rod, Oval","Singles, Aggregates",No,No,,Anaerobic,Multiple,Mesophilic,25,No,,CP000096,0,plt,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58173,13011,324925,Pelodictyon phaeoclathratiforme BU-1,Bacteria,Bacteroidetes/Chlorobi,complete,3,48.1,0,Rod,"Singles, Aggregates",No,No,,Anaerobic,Multiple,Mesophilic,15-25,No,,CP001110,0,pph,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
59187,29215,517418,Chloroherpeton thalassium ATCC 35110,Bacteria,Bacteroidetes/Chlorobi,complete,3.3,45,0,Filamentous rod,,,Yes,,Facultative,Aquatic,Mesophilic,0,No,,CP001100,0,cts,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58151,12749,290512,Prosthecochloris aestuarii DSM 271,Bacteria,Bacteroidetes/Chlorobi,complete,2.567,50.1,0,Coccus,,,No,,,Aquatic,Mesophilic,30,No,None,"CP001108,CP001109",0,paa,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
62245,60099,926569,Anaerolinea thermophila UNI-1,Bacteria,Chloroflexi,complete,3.5,,,,,,,,,,,0,,,AP012029,0,atm,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58621,16708,326427,Chloroflexus aggregans DSM 9485,Bacteria,Chloroflexi,complete,4.7,56.4,,Filament,Aggregates,,Yes,,Facultative,Specialized,Thermophilic,0,No,,CP001337,0,cag,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57657,59,324602,Chloroflexus aurantiacus J-10-fl,Bacteria,Chloroflexi,complete,5.25854,56.7,,Filament,Filaments,,Yes,,Anaerobic,Specialized,Thermophilic,52-60,No,,CP000909,0,cau,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59085,21119,480224,Chloroflexus sp. Y-400-fl,Bacteria,Chloroflexi,complete,5.26895,56.7,,Filament,Filaments,,Yes,,,,,0,,,CP001364,0,chl,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58287,13462,383372,Roseiflexus castenholzii DSM 13941,Bacteria,Chloroflexi,complete,5.7233,60.7,,Filament,,,Yes,,Facultative,Aquatic,Thermophilic,50,No,,CP000804,0,rca,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58523,16190,357808,Roseiflexus sp. RS-1,Bacteria,Chloroflexi,complete,5.8,60.4,0,Rod,Filaments,No,Yes,,Facultative,Specialized,Thermophilic,0,,,CP000686,0,rrs,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
57763,214,243164,Dehalococcoides ethenogenes 195,Bacteria,Chloroflexi,complete,1.46972,48.9,0,Irregular coccus,Singles,No,Yes,Mesophilic,Anaerobic,Multiple,Mesophilic,35,No,None,CP000027,0,det,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58477,15770,216389,Dehalococcoides sp. BAV1,Bacteria,Chloroflexi,complete,1.34189,47.2,,,,,,,Anaerobic,,,0,,,CP000688,0,deb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58413,15604,255470,Dehalococcoides sp. CBDB1,Bacteria,Chloroflexi,complete,1.4,47,0,Irregular coccus,,No,No,Mesophilic,Anaerobic,Multiple,Mesophilic,0,No,,AJ965256,0,deh,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42115,36645,633145,Dehalococcoides sp. GT,Bacteria,Chloroflexi,complete,1.4,47.3,,,,,,,Anaerobic,Aquatic,Mesophilic,0,,,CP001924,0,deg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42393,18811,311424,Dehalococcoides sp. VS,Bacteria,Chloroflexi,complete,1.4,47.3,,,,,,Non-halophilic,Anaerobic,Aquatic,Mesophilic,0,No,None,CP001827,0,dev,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48131,40221,552811,Dehalogenimonas lykanthroporepellens BL-DC-9,Bacteria,Chloroflexi,complete,1.7,55,0,Irregular cocci,,No,No,,Anaerobic,,Mesophilic,0,,,CP002084,0,dly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58599,16523,316274,Herpetosiphon aurantiacus DSM 785,Bacteria,Chloroflexi,complete,6.78559,50.9,0,Filament,,,Yes,,Aerobic,Multiple,Mesophilic,0,,,"CP000875,CP000877,CP000876",0,hau,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
41997,21087,479434,Sphaerobacter thermophilus DSM 20745,Bacteria,Chloroflexi,complete,4,68.1,0,Rod,,No,,,,,,0,No,,"CP001823,CP001824",0,sti,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59341,32569,309801,Thermomicrobium roseum DSM 5159,Bacteria,Chloroflexi,complete,2.92,64.3,0,Pleomorphic rod,"Singles, Pairs",No,No,,Aerobic,Specialized,Thermophilic,70,No,,"CP001275,CP001276",0,tro,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
45897,38575,653733,Desulfurispirillum indicum S5,Bacteria,Other Bacteria,complete,2.9,56.2,,,,,,,,,,0,,,CP002432,0,din,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58167,12997,329726,Acaryochloris marina MBIC11017,Bacteria,Cyanobacteria,complete,8.3621,47,,"Sphere, Ellipse",Singles,,,,Aerobic,Aquatic,Mesophilic,0,No,None,"CP000828,CP000838,CP000839,CP000840,CP000841,CP000842,CP000843,CP000844,CP000845,CP000846",0,amr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59013,20319,43989,Cyanothece sp. ATCC 51142,Bacteria,Cyanobacteria,complete,5.46127,37.9,,Coccus,Singles,,,,Facultative,Aquatic,Mesophilic,0,No,,"CP000806,CP000810,CP000811,CP000808,CP000807,CP000809",0,cyt,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59025,20479,65393,Cyanothece sp. PCC 7424,Bacteria,Cyanobacteria,complete,6.55765,38.5,,Coccus,Singles,,No,,Facultative,Aquatic,Mesophilic,0,No,,"CP001291,CP001293,CP001294,CP001295,CP001296,CP001297,CP001292",0,cyc,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59435,28337,395961,Cyanothece sp. PCC 7425,Bacteria,Cyanobacteria,complete,5.78957,50.6,,Coccus,,,No,,Facultative,Aquatic,Mesophilic,0,No,,"CP001344,CP001346,CP001347,CP001345",0,cyn,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
52547,28535,497965,Cyanothece sp. PCC 7822,Bacteria,Cyanobacteria,complete,7.846,40.1,,Coccus,,,No,,Anaerobic,Aquatic,Mesophilic,0,No,,"CP002198,CP002199,CP002202,CP002200,CP002203,CP002204,CP002201",0,cyj,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59027,20503,41431,Cyanothece sp. PCC 8801,Bacteria,Cyanobacteria,complete,4.78841,39.8,,Coccus,Singles,,,,Facultative,Aquatic,Mesophilic,0,No,,"CP001287,CP001289,CP001290,CP001288",0,cyp,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59143,28339,395962,Cyanothece sp. PCC 8802,Bacteria,Cyanobacteria,complete,4.80381,39.8,,Coccus,,,No,,Facultative,Aquatic,Mesophilic,0,No,,"CP001701,CP001702,CP001704,CP001705,CP001703",0,cyh,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59101,27835,449447,Microcystis aeruginosa NIES-843,Bacteria,Cyanobacteria,complete,5.84279,42.3,,Coccus,Singles,,No,,Aerobic,Aquatic,Mesophilic,0,"Animal, Human","Cyanobacterial hepatotoxicosis, gastroenteritis, skin irritation",AP009552,0,mar,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58235,13282,269084,Synechococcus elongatus PCC 6301,Bacteria,Cyanobacteria,complete,2.7,55.5,0,Rod,"Singles, Chains",,No,Non-halophilic,,Aquatic,Mesophilic,0,No,None,AP008231,0,syc,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58045,10645,1140,Synechococcus elongatus PCC 7942,Bacteria,Cyanobacteria,complete,2.74637,55.4,,Rod,"Singles, Pairs",,,,,Aquatic,Mesophilic,0,,,"CP000100,CP000101",0,syf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58123,12530,64471,Synechococcus sp. CC9311,Bacteria,Cyanobacteria,complete,2.60675,52.4,,Coccus,Singles,,Yes,,,Aquatic,Mesophilic,0,No,,CP000435,0,syg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58319,13643,110662,Synechococcus sp. CC9605,Bacteria,Cyanobacteria,complete,2.51066,59.2,,Coccus,,No,Yes,,,Aquatic,Mesophilic,0,No,,CP000110,0,syd,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58323,13655,316279,Synechococcus sp. CC9902,Bacteria,Cyanobacteria,complete,2.23483,54.2,,Coccus,,,Yes,,,Aquatic,Mesophilic,0,No,,CP000097,0,sye,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58537,16252,321332,Synechococcus sp. JA-2-3B'a(2-13),Bacteria,Cyanobacteria,complete,3.04668,58.5,0,Rod,Singles,,,,Facultative,Specialized,Thermophilic,0,No,,CP000240,0,cyb,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58535,16251,321327,Synechococcus sp. JA-3-3Ab,Bacteria,Cyanobacteria,complete,2.93277,60.2,0,Rod,Singles,,,,Facultative,Specialized,Thermophilic,0,No,,CP000239,0,cya,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
59137,28247,32049,Synechococcus sp. PCC 7002,Bacteria,Cyanobacteria,complete,3.4018,49.2,,Coccus,,,No,,,Aquatic,Mesophilic,38,No,,"CP000951,CP000952,CP000953,CP000954,CP000955,CP000956,CP000957",0,syp,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
61609,13654,316278,Synechococcus sp. RCC307,Bacteria,Cyanobacteria,complete,2.22491,60.8,,Coccus,Singles,,Yes,,,Aquatic,Mesophilic,0,,,CT978603,0,syr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
61607,13642,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria,complete,2.36698,60.2,,Coccus,Singles,,Yes,,,Aquatic,Mesophilic,0,,,CT971583,0,syx,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
61581,230,84588,Synechococcus sp. WH 8102,Bacteria,Cyanobacteria,complete,2.43443,59.4,,Coccus,Singles,,Yes,,,Aquatic,Mesophilic,0,No,,BX548020,0,syw,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57659,60,1148,Synechocystis sp. PCC 6803,Bacteria,Cyanobacteria,complete,3.94771,47.4,,Coccus,Aggregates,,,,,Aquatic,Mesophilic,0,No,,"AP004312,AP006585,AP004310,BA000022,AP004311",0,syn,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57907,308,197221,Thermosynechococcus elongatus BP-1,Bacteria,Cyanobacteria,complete,2.59386,53.9,,Rod,Singles,,,,,Specialized,Thermophilic,55,No,,BA000039,0,tel,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
43697,30917,713887,cyanobacterium UCYN-A,Bacteria,Cyanobacteria,complete,1.4,31.1,,,,,,,,,,0,,,CP001842,0,cyu,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58011,9606,251221,Gloeobacter violaceus PCC 7421,Bacteria,Cyanobacteria,complete,4.65902,62,,Rod,Singles,,,,,Terrestrial,Mesophilic,0,,,BA000045,0,gvi,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
58043,10642,240292,Anabaena variabilis ATCC 29413,Bacteria,Cyanobacteria,complete,7.10485,41.4,,Filament,"Singles, Filaments",,Yes,,Aerobic,Multiple,,0,No,,"CP000118,CP000120,CP000121,CP000119,CP000117",0,ava,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
57767,216,63737,Nostoc punctiforme PCC 73102,Bacteria,Cyanobacteria,complete,9.04632,41.4,,Filament,,,Yes,,Aerobic,Multiple,,0,No,,"CP001037,CP001039,CP001040,CP001041,CP001042,CP001038",0,npu,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
57803,244,103690,Nostoc sp. PCC 7120,Bacteria,Cyanobacteria,complete,7.19992,41.3,,Filament,"Singles, Filaments",,Yes,,Aerobic,Multiple,Mesophilic,0,No,,"BA000019,BA000020,AP003602,AP003603,AP003604,AP003605,AP003606",0,ana,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
49725,30807,551115,Nostoc azollae' 0708,Bacteria,Cyanobacteria,complete,5.532,38.3,,Filaments,Filaments,,Yes,,Aerobic,Multiple,Mesophilic,0,,,"CP002059,CP002060,CP002061",0,naz,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
57925,318,203124,Trichodesmium erythraeum IMS101,Bacteria,Cyanobacteria,complete,7.75011,34.1,,Filament,"Filaments, Aggregates",,Yes,,Aerobic,Aquatic,,0,No,,CP000393,0,ter,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
58307,13548,146891,Prochlorococcus marinus str. AS9601,Bacteria,Cyanobacteria,complete,1.66989,31.3,0,,,,,,,Aquatic,Mesophilic,0,No,None,CP000551,0,pmb,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58309,13551,93059,Prochlorococcus marinus str. MIT 9211,Bacteria,Cyanobacteria,complete,1.7,38,0,,,,,,,Aquatic,Mesophilic,0,No,None,CP000878,0,pmj,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58819,18633,93060,Prochlorococcus marinus str. MIT 9215,Bacteria,Cyanobacteria,complete,1.73879,31.1,0,,,,,Non-halophilic,,Aquatic,Mesophilic,0,No,None,CP000825,0,pmh,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58437,15746,167546,Prochlorococcus marinus str. MIT 9301,Bacteria,Cyanobacteria,complete,1.64188,31.3,,,,,,,,Aquatic,Mesophilic,0,,,CP000576,0,pmg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58305,13496,59922,Prochlorococcus marinus str. MIT 9303,Bacteria,Cyanobacteria,complete,2.7,50,0,Oval,Singles,,No,,,Aquatic,Mesophilic,0,No,None,CP000554,0,pmf,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58357,13910,74546,Prochlorococcus marinus str. MIT 9312,Bacteria,Cyanobacteria,complete,1.7092,31.2,0,Oval,Singles,,No,,,Aquatic,Mesophilic,0,,,CP000111,0,pmi,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57773,220,74547,Prochlorococcus marinus str. MIT 9313,Bacteria,Cyanobacteria,complete,2.4,50.7,,Oval,Singles,,No,,,Aquatic,Mesophilic,0,,,BX548175,0,pmt,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58313,13617,167542,Prochlorococcus marinus str. MIT 9515,Bacteria,Cyanobacteria,complete,1.7,30.8,,,,,,,,Aquatic,,0,No,None,CP000552,0,pmc,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58423,15660,167555,Prochlorococcus marinus str. NATL1A,Bacteria,Cyanobacteria,complete,1.86473,35,0,,,,,,,Aquatic,Mesophilic,0,No,,CP000553,0,pme,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
58359,13911,59920,Prochlorococcus marinus str. NATL2A,Bacteria,Cyanobacteria,complete,1.8429,35.1,0,Oval,Singles,,No,,,Aquatic,Mesophilic,0,,,CP000095,0,pmn,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57995,419,167539,Prochlorococcus marinus subsp. marinus str. CCMP1375,Bacteria,Cyanobacteria,complete,1.75108,36.4,,Oval,Singles,,No,,,Aquatic,Mesophilic,0,,,AE017126,0,pma,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57761,213,59919,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Bacteria,Cyanobacteria,complete,1.65799,30.8,,Oval,Singles,,No,,,Aquatic,Mesophilic,0,,,BX548174,0,pmm,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
60821,49523,768670,Calditerrivibrio nitroreducens DSM 19672,Bacteria,Other Bacteria,complete,2.26,,0,Vibrio,,No,Yes,,Anaerobic,,Thermophilic,55,,,"CP002347,CP002348",0,cni,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46653,37285,639282,Deferribacter desulfuricans SSM1,Bacteria,Other Bacteria,complete,2.51,30.3,0,Rod,,,No,,Anaerobic,Specialized,Thermophilic,60-65,,,"AP011529,AP011530",0,ddf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46657,29431,522772,Denitrovibrio acetiphilus DSM 12809,Bacteria,Other Bacteria,complete,3.2,42.5,0,Curved rod,,No,Yes,,Anaerobic,Aquatic,Mesophilic,35-37,No,,CP001968,0,dap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68147,45817,717231,Flexistipes sinusarabici DSM 4947,Bacteria,Other Bacteria,complete,2.5,,0,Flexible rod,,No,No,Moderate halophilic,Anaerobic,,,0,,,CP002858,0,fsi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58615,16691,546414,Deinococcus deserti VCD115,Bacteria,Deinococcus-Thermus,complete,3.83,63,0,Rod,,No,No,,Aerobic,Terrestrial,Mesophilic,0,,,"CP001114,CP001115,CP001116,CP001117",0,ddr,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
58275,13423,319795,Deinococcus geothermalis DSM 11300,Bacteria,Deinococcus-Thermus,complete,3.24721,66.5,0,Coccus,"Pairs, Tetrads",,,,Aerobic,Aquatic,Mesophilic,47,No,,"CP000359,CP000856,CP000358",0,dge,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
62225,43461,709986,Deinococcus maricopensis DSM 21211,Bacteria,Deinococcus-Thermus,complete,3.5,,0,Coccus,,,No,,Aerobic,Terrestrial,Mesophilic,40,,,CP002454,0,dmr,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
63399,41911,693977,Deinococcus proteolyticus MRP,Bacteria,Deinococcus-Thermus,complete,2.84,,,Coccus,,,No,,Aerobic,,Mesophilic,0,,,"CP002536,CP002537,CP002538,CP002539,CP002540",0,dpt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
