Pathway Genes Missing,taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG Organism ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,4.1.3.24,2.3.3.8,4.2.1.3,1.1.1.37,4.1.3.6,1.1.1.82,6.2.1.9,4.1.3.1,4.1.3.34
1,641228491,Bacteria,Finished,"Dinoroseobacter shibae DFL-12, DSM 16493","Dinoroseobacter shibae DFL-12, DSM 16493",641228491,398580,58707,17417,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,shibae,DFL 12,DOE Joint Genome Institute,zzz,2008-02-07,Yes,IMG/W 2.5,zzz,zzz,Gc00659,Free living,zzz,zzz,zzz,Rod-shaped,None,Phototroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Anoxygenic,Comparative analysis,zzz,zzz,Mesophile,zzz,10026,6,2,2894792,0.66,3970632,4417868,4271,4219,98.78,52,6,2,2,zzz,2,zzz,44,2,347,8.12,2139,50.08,33,0.77,zzz,zzz,zzz,zzz,zzz,zzz,2538,59.42,1665,38.98,16,0.37,1052,24.63,1029,24.09,4134,96.79,768,17.98,3510,308,275,6.44,3944,92.34,4187,98.03,32,0.75,3173,74.29,1388,32.5,3403,79.68,1234,28.89,1768,729,1840,1047,3724,87.19,1119,26.2,706,16.53,1320,30.91,2899,67.88,2225,52.1,1994,46.69,860,20.14,3359,78.65,934,21.87,290,6.79,314,7.35,4191,98.13,311,dsh,True,False,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True
1,642555140,Bacteria,Finished,Mycobacterium ulcerans Agy99,Mycobacterium ulcerans Agy99,642555140,362242,62939,16230,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,ulcerans,Agy99,Institut Pasteur,zzz,2008-09-20,Yes,IMG/W 2.7,zzz,zzz,Gc00469,Free living,Skin,zzz,Singles,Rod-shaped,Buruli ulcer,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,Homo sapiens,Female,Nonmotile,zzz,Aerobe,Aerobe,"Pathogen, Antibiotic resistant","Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,10216,2,zzz,3796479,0.65,4236262,5805761,4306,4241,98.49,65,3,1,1,zzz,1,zzz,45,17,352,8.17,2086,48.44,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,2792,64.84,1443,33.51,6,0.14,1141,26.5,839,19.48,4167,96.77,959,22.27,3273,235,340,7.9,3901,90.59,353,8.2,3888,90.29,2853,66.26,1546,35.9,3420,79.42,1071,24.87,1379,725,1542,879,3694,85.79,1002,23.27,298,6.92,1081,25.1,3160,73.39,1814,42.13,2427,56.36,783,18.18,3458,80.31,781,18.14,317,7.36,265,6.15,3976,92.34,673,mul,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True
1,637000269,Bacteria,Finished,Ensifer meliloti 1021,Ensifer meliloti 1021,637000269,266834,57603,19,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,meliloti,1021,"European Union, Stanford Univ",European & Canadian Consortium,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00059,Symbiotic,Plant-root,zzz,zzz,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Symbiotic,zzz,Gram-,alfalfa,zzz,Motile,"Nitrogen fixation, Stores polyhydroxybutyrate",Aerobe,Aerobe,"Symbiotic, Streptomycin resistant","Root Nodulating Bacteria (RNB), Biotechnological, Root Nodulating Bacteria (RNB), Root Nodulating Bacteria (RNB), Root Nodulating Bacteria (RNB)",zzz,Nonsporulating,Mesophile,zzz,10627,3,zzz,4160497,0.62,5774113,6691694,6295,6212,98.68,83,9,3,3,zzz,3,zzz,55,19,680,10.8,3565,56.63,7,0.11,zzz,zzz,zzz,zzz,zzz,zzz,3708,58.9,2463,39.13,41,0.65,1281,20.35,1387,22.03,6089,96.73,1506,23.92,4774,521,854,13.57,5358,85.12,6202,98.52,10,0.16,5086,80.79,2085,33.12,5161,81.99,1559,24.77,2096,795,2064,1205,5520,87.69,1466,23.29,1149,18.25,1839,29.21,4373,69.47,3289,52.25,2923,46.43,1072,17.03,5140,81.65,1602,25.45,443,7.04,524,8.32,6100,96.9,671,sme,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000304,Bacteria,Finished,Streptomyces avermitilis MA-4680,Streptomyces avermitilis MA-4680,637000304,227882,57739,189,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,avermitilis,MA-4680,"Kitasato Univ, NIID, NITE, Univ of Tokyo",MEXT,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00128,Free living,zzz,zzz,zzz,Filament-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Aerobe,Aerobe,zzz,"Biotechnological, Antibiotic production",zzz,Sporulating,Mesophile,zzz,10558,2,4,6447889,0.71,7882277,9119895,7792,7673,98.47,119,18,6,6,zzz,6,zzz,68,33,699,8.97,4367,56.04,zzz,zzz,zzz,zzz,zzz,zzz,2,zzz,4797,61.56,2848,36.55,28,0.36,1777,22.81,1820,23.36,7360,94.46,1854,23.79,5496,691,492,6.31,7181,92.16,7655,98.24,18,0.23,5044,64.73,2446,31.39,5644,72.43,1538,19.74,1809,878,1960,1087,6231,79.97,1463,18.78,839,10.77,1607,20.62,6066,77.85,2738,35.14,4935,63.33,1074,13.78,6599,84.69,1570,20.15,447,5.74,630,8.09,7528,96.61,916,sma,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,True
1,648028024,Bacteria,Finished,Dickeya dadantii 3937,Dickeya dadantii 3937,648028024,198628,52537,30,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya,dadantii,3937,"J. Craig Venter Institute, Univ of Wisconsin",zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01377,Free living,zzz,zzz,zzz,Rod-shaped,Soft rot,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Plant Pathogen, Agricultural",zzz,Nonsporulating,Mesophile,zzz,11299,1,4,2771357,0.56,4284272,4922777,4664,4549,97.53,115,22,8,7,zzz,7,zzz,75,18,424,9.09,2150,46.1,zzz,zzz,zzz,zzz,zzz,zzz,4,zzz,3502,75.09,771,16.53,276,5.92,1561,33.47,1030,22.08,4394,94.21,820,17.58,3790,284,57,1.22,4492,96.31,13,0.28,4536,97.26,3515,75.36,1413,30.3,3743,80.25,1594,34.18,2000,730,2092,1416,3901,83.64,1186,25.43,845,18.12,1487,31.88,3062,65.65,2635,56.5,1914,41.04,818,17.54,3731,80,267,5.72,52,1.11,95,2.04,4570,97.98,530,ddd,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,True
1,643348548,Bacteria,Finished,Escherichia coli O127:H6 E2348/69 (EPEC),Escherichia coli O127:H6 E2348/69 (EPEC),643348548,574521,59343,32571,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,O127:H6 str. E2348/69,"Institut Pasteur, Sanger Institute",zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00878,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,Diarrhea,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,"Enteropathogenic, Pathogen","Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,11327,3,zzz,2561174,0.51,4362158,5069678,4843,4653,96.08,190,22,8,7,zzz,7,zzz,92,76,422,8.71,2211,45.65,zzz,zzz,zzz,zzz,1,zzz,zzz,zzz,3769,77.82,876,18.09,8,0.17,934,19.29,404,8.34,4623,95.46,990,20.44,4003,392,763,15.75,3890,80.32,3695,76.3,958,19.78,3581,73.94,1402,28.95,4091,84.47,1779,36.73,2136,741,2404,1490,4290,88.58,1343,27.73,798,16.48,1457,30.08,3196,65.99,2874,59.34,1779,36.73,907,18.73,3746,77.35,939,19.39,278,5.74,284,5.86,4741,97.89,465,ecg,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,643348549,Bacteria,Finished,Escherichia coli O157:H7 EC4115,Escherichia coli O157:H7 EC4115,643348549,444450,59091,27739,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,O157:H7 str. EC4115,J. Craig Venter Institute,zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00867,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Diarrhea, Hemorrhagic colitis",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,zzz,"Comparative analysis, Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11889,3,1,2875347,0.5,4780876,5704171,5609,5477,97.65,132,22,8,7,zzz,7,zzz,110,zzz,460,8.2,2371,42.27,1,0.02,zzz,zzz,zzz,zzz,1,zzz,4050,72.21,1407,25.08,20,0.36,1013,18.06,1079,19.24,5390,96.1,1484,26.46,4354,483,746,13.3,4731,84.35,4223,75.29,1254,22.36,3837,68.41,1432,25.53,4452,79.37,1820,32.45,2170,750,2402,1500,4696,83.72,1340,23.89,834,14.87,1476,26.31,4001,71.33,2966,52.88,2511,44.77,887,15.81,4590,81.83,1254,22.36,450,8.02,345,6.15,5488,97.84,602,ecf,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000107,Bacteria,Finished,Escherichia coli O157:H7 EDL933 (EHEC),Escherichia coli O157:H7 EDL933 (EHEC),637000107,155864,57831,259,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,O157:H7 EDL933,Univ of Wisconsin,"NHGRI, NIAID",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00043,Free living,Gastrointestinal tract,zzz,"Singles, Pairs",Rod-shaped,"Hemorrhagic colitis, Enterohaemorrhagic, Hamburger disease",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Biothreat, Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10643,2,1,2829256,0.5,4949225,5618109,5633,5423,96.27,210,22,8,7,zzz,7,zzz,98,90,496,8.81,2565,45.54,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3364,59.72,2036,36.14,23,0.41,1023,18.16,876,15.55,5361,95.17,1506,26.74,4276,520,1884,33.45,3539,62.83,5387,95.63,36,0.64,3990,70.83,1468,26.06,4556,80.88,1866,33.13,2185,754,2421,1519,4826,85.67,1366,24.25,878,15.59,1502,26.66,3921,69.61,3129,55.55,2294,40.72,911,16.17,4512,80.1,1363,24.2,492,8.73,366,6.5,5525,98.08,559,ece,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,641522625,Bacteria,Finished,Escherichia coli DH10B,Escherichia coli DH10B,641522625,316385,58979,20079,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,str. K12 substr. DH10B,"BCM-HGSC, Univ of Wisconsin-Madison",zzz,2008-05-30,Yes,IMG/W 2.6,zzz,zzz,Gc00716,Free living,Gastrointestinal tract,zzz,"Pairs, Singles",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Non-Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11325,1,3,2379681,0.51,3940021,4686135,4271,4126,96.61,145,22,8,7,zzz,7,zzz,87,36,396,9.27,2147,50.27,zzz,zzz,zzz,zzz,1,zzz,zzz,zzz,3497,81.88,629,14.73,zzz,zzz,897,21,752,17.61,4111,96.25,945,22.13,3554,380,783,18.33,3343,78.27,4096,95.9,30,0.7,3465,81.13,1376,32.22,3768,88.22,1690,39.57,2052,725,2219,1427,3962,92.77,1327,31.07,766,17.93,1408,32.97,2718,63.64,2836,66.4,1290,30.2,888,20.79,3238,75.81,1157,27.09,405,9.48,323,7.56,4184,97.96,480,ecd,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000105,Bacteria,Finished,Escherichia coli O6:K2:H1 CFT073 (UPEC),Escherichia coli O6:K2:H1 CFT073 (UPEC),637000105,199310,57915,313,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,CFT073,Univ of Wisconsin,NIAID,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00113,Free living,Blood,zzz,"Singles, Pairs",Rod-shaped,"Urinary infection, Pyelonephritis, Cystitis",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,Female,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10573,1,zzz,2640553,0.5,4649270,5231235,5683,5470,96.25,213,21,7,7,zzz,7,zzz,89,103,459,8.08,2453,43.16,91,1.6,zzz,zzz,zzz,zzz,zzz,zzz,2813,49.5,2623,46.16,34,0.6,1019,17.93,952,16.75,5375,94.58,1181,20.78,4510,439,1547,27.22,3923,69.03,5349,94.12,121,2.13,3814,67.11,1486,26.15,4285,75.4,1807,31.8,2127,749,2347,1470,4524,79.61,1379,24.27,863,15.19,1505,26.48,3965,69.77,2977,52.38,2493,43.87,930,16.36,4540,79.89,1329,23.39,502,8.83,349,6.14,5535,97.4,431,ecc,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000102,Bacteria,Finished,Pectobacterium atrosepticum SCRI1043,Pectobacterium atrosepticum SCRI1043,637000102,218491,57957,350,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,carotovora,subsp. atroseptica SCRI1043,"Sanger Institute, Scottish Crop Research Institute, Univ of Cambridge",The Scottish Office,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00202,Free living,zzz,zzz,zzz,Rod-shaped,Soft rot,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,"Blackleg, Pathogen","Agricultural, Plant Pathogen",zzz,zzz,Mesophile,zzz,10484,1,2,2580995,0.51,4392915,5064019,4637,4489,96.81,148,22,8,7,zzz,7,zzz,76,50,460,9.92,2299,49.58,17,0.37,zzz,zzz,1,zzz,3,zzz,3217,69.38,1234,26.61,38,0.82,943,20.34,1075,23.18,4431,95.56,791,17.06,3852,299,777,16.76,3712,80.05,4472,96.44,17,0.37,3553,76.62,1381,29.78,3835,82.7,1674,36.1,2083,719,2176,1435,4040,87.13,1261,27.19,853,18.4,1541,33.23,2948,63.58,2760,59.52,1729,37.29,858,18.5,3631,78.3,1308,28.21,451,9.73,400,8.63,4510,97.26,581,eca,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,648028033,Bacteria,Finished,Herbaspirillum seropedicae SmR1,Herbaspirillum seropedicae SmR1,648028033,757424,50427,47945,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,seropedicae,SmR1,Genopar,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01315,Free living,Plant-root,zzz,zzz,Spiral-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Rice,zzz,Motile,Nitrogen fixation,Aerobe,Aerobe,zzz,"Root Nodulating Bacteria (RNB), Biotechnological, Agricultural",zzz,zzz,Mesophile,zzz,17008,1,zzz,3496056,0.63,4885988,5513887,4799,4735,98.67,64,9,3,3,zzz,3,zzz,55,zzz,557,11.61,2577,53.7,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3833,79.87,756,15.75,146,3.04,1854,38.63,1153,24.03,4568,95.19,1023,21.32,3795,351,2,0.04,4733,98.62,1,0.02,4734,98.65,3871,80.66,1678,34.97,3989,83.12,1570,32.72,1855,747,1937,1223,4201,87.54,1177,24.53,870,18.13,1481,30.86,3254,67.81,2484,51.76,2251,46.91,870,18.13,3865,80.54,871,18.15,216,4.5,297,6.19,4694,97.81,488,hse,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True
1,646311926,Bacteria,Finished,"Escherichia coli K-12, MG1655","Escherichia coli K-12, MG1655",646311926,511145,57779,225,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,str. K-12 substr. MG1655,Univ of Wisconsin,zzz,2010-02-26,Yes,IMG/W 3.1,zzz,zzz,Gc00008,Free living,Gastrointestinal tract,zzz,"Singles, Pairs",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Non-Pathogen,Medical,zzz,Nonsporulating,Mesophile,zzz,10678,1,2,2356477,0.51,3992744,4639675,4497,4321,96.09,176,22,8,7,zzz,7,zzz,89,65,461,10.25,2255,50.14,178,3.96,zzz,zzz,zzz,zzz,zzz,zzz,3906,86.86,242,5.38,173,3.85,909,20.21,1038,23.08,4116,91.53,810,18.01,3638,320,4264,94.82,57,1.27,4087,90.88,234,5.2,3497,77.76,1403,31.2,3787,84.21,1710,38.03,2086,740,2272,1475,3970,88.28,1355,30.13,757,16.83,1431,31.82,2890,64.27,2878,64,1443,32.09,909,20.21,3412,75.87,1337,29.73,507,11.27,351,7.81,4241,94.31,440,eco,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,641522624,Bacteria,Finished,Escherichia coli SECEC SMS-3-5,Escherichia coli SECEC SMS-3-5,641522624,439855,58919,19469,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,SMS-3-5,J. Craig Venter Institute,zzz,2008-05-30,Yes,IMG/W 2.6,zzz,zzz,Gc00750,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,"Ciprofloxacin resistant, Moxifloxacin resistant, Non-Pathogen","Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11883,5,1,2633373,0.5,4579945,5215377,5025,4913,97.77,112,22,8,7,zzz,7,zzz,90,zzz,448,8.92,2348,46.73,1,0.02,zzz,zzz,zzz,zzz,2,zzz,3840,76.42,1056,21.01,17,0.34,982,19.54,781,15.54,4874,97,1002,19.94,4240,382,790,15.72,4123,82.05,2450,48.76,2463,49.01,3811,75.84,1481,29.47,4172,83.02,1836,36.54,2166,754,2357,1507,4390,87.36,1400,27.86,868,17.27,1544,30.73,3369,67.04,3048,60.66,1865,37.11,945,18.81,3968,78.97,1251,24.9,441,8.78,352,7,4938,98.27,425,ecm,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,639279306,Bacteria,Finished,Corynebacterium glutamicum Kalinowski ATCC 13032,Corynebacterium glutamicum Kalinowski ATCC 13032,639279306,196627,61611,13760,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,glutamicum,ATCC 13032 (Bielefeld),"Bielefeld Univ, Degussa",BMBF,2006-10-13,Yes,IMG/W 2.0,zzz,zzz,Gc00155,Free living,zzz,zzz,Singles,Rod-shaped,None,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Facultative,Facultative,Fast growing,"Glutamate production, Biotechnological, Amino acids production, Food industry",zzz,Nonsporulating,Mesophile,zzz,10531,1,zzz,1767468,0.54,2935847,3282708,3154,3058,96.96,96,18,6,6,zzz,6,zzz,60,18,240,7.61,1430,45.34,1,0.03,zzz,zzz,78,2,zzz,zzz,2247,71.24,800,25.36,11,0.35,687,21.78,794,25.17,2956,93.72,307,9.73,2640,133,481,15.25,2577,81.71,2329,73.84,729,23.11,2129,67.5,1035,32.82,2241,71.05,865,27.43,1342,630,1448,817,2435,77.2,807,25.59,412,13.06,904,28.66,2154,68.29,1498,47.5,1560,49.46,610,19.34,2448,77.62,715,22.67,294,9.32,229,7.26,3117,98.83,310,cgb,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True
1,643348544,Bacteria,Finished,Escherichia coli 55989,Escherichia coli 55989,643348544,585055,59383,33413,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,55989,Genoscope,zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00922,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,Diarrhea,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,11305,1,1,2611262,0.51,4517887,5154862,4985,4763,95.55,222,22,8,7,zzz,7,zzz,94,106,453,9.09,2287,45.88,zzz,zzz,zzz,zzz,4,zzz,zzz,zzz,3542,71.05,1217,24.41,4,0.08,954,19.14,1112,22.31,4730,94.88,1078,21.62,4041,402,762,15.29,4001,80.26,3343,67.06,1420,28.49,3771,75.65,1450,29.09,4157,83.39,1823,36.57,2170,752,2374,1515,4366,87.58,1354,27.16,805,16.15,1457,29.23,3306,66.32,2952,59.22,1811,36.33,904,18.13,3859,77.41,918,18.42,253,5.08,289,5.8,4922,98.74,472,eck,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000110,Bacteria,Finished,Escherichia coli K12- W3110,Escherichia coli K12- W3110,637000110,316407,58567,16351,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,W3110,NARA,zzz,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00355,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,Non-Pathogen,Medical,zzz,Nonsporulating,Mesophile,zzz,10331,1,2,2360317,0.51,4072710,4646332,4427,4227,95.48,200,22,8,7,zzz,7,zzz,86,92,428,9.67,2281,51.52,1,0.02,zzz,zzz,268,6,zzz,zzz,3511,79.31,716,16.17,zzz,zzz,900,20.33,692,15.63,4210,95.1,840,18.97,3687,323,4220,95.32,7,0.16,4226,95.46,1,0.02,3565,80.53,1414,31.94,3864,87.28,1726,38.99,2123,744,2283,1479,4069,91.91,1359,30.7,777,17.55,1439,32.51,2788,62.98,2892,65.33,1335,30.16,910,20.56,3317,74.93,1291,29.16,465,10.5,351,7.93,4354,98.35,419,ecj,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000109,Bacteria,Finished,Escherichia coli UTI89 (UPEC),Escherichia coli UTI89 (UPEC),637000109,364106,58541,16259,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,UTI89,Washington Univ,zzz,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00364,Free living,Gastrointestinal tract,zzz,"Singles, Pairs",Rod-shaped,"Diarrhea, Cystitis",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,Female,Motile,zzz,Facultative,Facultative,Pathogen,"Human Gut Microbiome Initiative (HGMI), Medical, Human Pathogen, Human Gut Microbiome Initiative (HGMI), Human Gut Microbiome Initiative (HGMI), Human Gut Microbiome Initiative (HGMI)",zzz,Nonsporulating,Mesophile,zzz,10322,2,2,2621763,0.51,4651155,5179971,5398,5211,96.54,187,22,8,7,zzz,7,zzz,89,76,473,8.76,2470,45.76,zzz,zzz,zzz,zzz,1,zzz,2,zzz,2995,55.48,2211,40.96,5,0.09,1014,18.78,1037,19.21,5155,95.5,1016,18.82,4477,409,803,14.88,4408,81.66,4506,83.48,705,13.06,3792,70.25,1469,27.21,4245,78.64,1858,34.42,2181,746,2431,1516,4453,82.49,1394,25.82,871,16.14,1534,28.42,3677,68.12,3022,55.98,2189,40.55,941,17.43,4270,79.1,1303,24.14,481,8.91,351,6.5,5352,99.15,377,eci,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
