,16S rRNA Count,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Class,Diseases,Domain,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Energy Source,Family,GOLD ID,GenBank Project ID,Gene Count,Genome Name,Genome Size,Genus,IMG Pathwawy Count,IMG Pathway %,IMG Submission ID,Isolation,KEGG %,KEGG Count,KEGG Organism ID,MetaCyc %,MetaCyc Count,Metabolism,Motility,NCBI Taxon ID,Name,Order,Oxygen Requirement,Paralogs %,Paralogs Count,Phenotype,Phylum,Proposal Name,RefSeq Project ID,Salinity,Sequencing Center,Species,Specific Ecosystem,Sporulation,Status,Strain,Taxon Object ID,Taxonomy ID,Temperature Range
,1,Free living,,,,Rod-shaped,Thermotogae,None,bacteria,,,,,Heterotroph,Thermotogaceae,Gc00944,21023,1988,Thermotoga neapolitana DSM 4359,1884562,Thermotoga,150,7.55,,Free living,37.27,741,tna,22.28,443,Sulfur reducer,Motile,309803,Thermotoga neapolitana DSM 4359,Thermotogales,Anaerobe,8.55,170,Piezophile,Thermotogae,zzz,59065,,Genotech corp.,neapolitana,,Nonsporulating,Finished,DSM 4359,643348584,643348584,Hyperthermophile
,2,Free living,,,,Coccus-shaped,Cyanophyceae,None,bacteria,,,,,"Photoautotroph, Photosynthetic",Synechococcaceae,Gc00150,230,2588,Prochlorococcus sp. WH8102,2434428,Synechococcus,273,10.55,,Free living,32.34,837,syw,20.4,528,,Motile,84588,Synechococcus sp. WH 8102,Synechococcales,,9.04,234,,Cyanobacteria,Synechococcus sp. WH8102,61581,,"DOE Joint Genome Institute, Scripps Institute of Oceanography",sp.,,,Finished,WH 8102,637000314,637000314,Mesophile
,1,Free living,,,Singles,Coccus-shaped,Thermoprotei,None,archaea,,,,,Lithotroph,Sulfolobaceae,Gc00057,108,3141,Sulfolobus solfataricus P2,2992245,Sulfolobus,257,8.18,,Free living,22.48,706,sso,15,471,Sulfur metabolizing,Motile,273057,Sulfolobus solfataricus P2,Sulfolobales,Obligate aerobe,28.05,881,Acidophile,Crenarchaeota,zzz,57721,,"Canadian Bioinformatics Resource, European Union",solfataricus,,Nonsporulating,Finished,P2,638154518,638154518,Hyperthermophile
,1,Free living,,,,Rod-shaped,Sphingobacteria,None,bacteria,,,,,Heterotroph,Rhodothermaceae,Gc00331,16159,2899,"Salinibacter ruber M31, DSM 13855",3587328,Salinibacter,269,9.28,,Free living,27.8,806,sru,18.97,550,,Motile,309807,Salinibacter ruber DSM 13855,Sphingobacteriales,Aerobe,9.59,278,,Bacteroidetes,zzz,58513,Halophile,J. Craig Venter Institute,ruber,,,Finished,DSM 13855,637000250,637000250,Mesophile
,2,,,,,,Aquificae,,bacteria,,,,,,Desulfurobacteriaceae,,51497,1594,Desulfurobacterium thermolithotrophum DSM 11699,1541968,Desulfurobacterium,107,6.71,,,37.33,595,dte,23.9,381,,,868864,Desulfurobacterium thermolithotrophum DSM 11699,Aquificales,,5.08,81,,Aquificae,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),63405,,"DOE Joint Genome Institute, DSMZ",thermolithotrophum,,,Finished,DSM 11699,649633039,649633039,
,2,Free living,,,"Clusters, Singles, Pairs",Coccus-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Nakamurellaceae,Gc01177,29537,5471,"Nakamurella multipartita Y-104, DSM 44233",6060298,Nakamurella,310,5.67,,Free living,23.07,1262,nml,16.6,908,,Nonmotile,479431,Nakamurella multipartita DSM 44233,Actinomycetales,Aerobe,19.19,1050,,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),59221,,"DOE Joint Genome Institute, DSMZ",multipartita,,Nonsporulating,Finished,"Y-104, DSM 44233",644736393,644736393,Mesophile
,1,Free living,,,,,Halobacteria,None,archaea,,,,,Phototroph,Halobacteriaceae,Gc00301,15742,2895,"Natronomonas pharaonis Gabara, DSM 2160",2749696,Natronomonas,245,8.46,,Free living,28.95,838,nph,18.86,546,,Motile,348780,Natronomonas pharaonis DSM 2160,Halobacteriales,Aerobe,19.59,567,Alkaliphile,Euryarchaeota,zzz,58435,Halophile,"Max Planck Institute, Max-Planck Institute",pharaonis,,,Finished,DSM 2160,637000187,637000187,Mesophile
,2,Free living,,,,Coccus-shaped,Cyanophyceae,None,bacteria,,,,,"Photoautotroph, Photosynthetic",Synechococcaceae,Gc00566,13642,2591,Prochlorococcus sp. WH 7803,2366980,Synechococcus,230,8.88,,Free living,32.34,838,syx,20.42,529,,Motile,32051,Synechococcus sp. WH 7803,Synechococcales,,7.18,186,,Cyanobacteria,zzz,61607,,"Genoscope, International Collaboration",sp.,,,Finished,WH 7803,640427149,640427149,Mesophile
,1,Free living,,,Singles,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00290,13911,1985,Prochlorococcus marinus NATL2A,1842899,Prochlorococcus,245,12.34,,Free living,35.47,704,pmn,23.22,461,,Nonmotile,59920,Prochlorococcus marinus str. NATL2A,Synechococcales,,9.22,183,Small,Cyanobacteria,Prochlorococcus marinus NATL2A,58359,,"DOE Joint Genome Institute, MIT",marinus,,,Finished,str. NATL2A,637000212,637000212,Mesophile
,2,Free living,,,Singles,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00498,13496,3133,Prochlorococcus marinus MIT 9303,2682675,Prochlorococcus,254,8.11,,Free living,25.38,795,pmf,16.5,517,,Nonmotile,59922,Prochlorococcus marinus str. MIT 9303,Synechococcales,,9.77,306,Non-Pathogen,Cyanobacteria,zzz,58305,,"J. Craig Venter Institute, MIT",marinus,,,Finished,str. MIT 9303,640069323,640069323,Mesophile
,1,Free living,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,"Lithoautotroph, Chemolithoautotroph",Bradyrhizobiaceae,Gc00372,13473,4747,Nitrobacter hamburgensis X14,5011522,Nitrobacter,304,6.4,,Free living,22.18,1053,nha,14.18,673,Nitrifying,Motile,323097,Nitrobacter hamburgensis X14,Rhizobiales,Aerobe,24.25,1151,,Proteobacteria,zzz,58293,,"DOE Joint Genome Institute, Oregon State Univ",hamburgensis,,,Finished,X14,637000192,637000192,Mesophile
,3,,,,,,Actinobacteria,,bacteria,,,,,,Frankiaceae,,37913,7262,Frankia sp. EuI1c,8815781,Frankia,328,4.52,,,20.6,1496,fri,14.39,1045,,,298654,Frankia sp. EuI1c,Actinomycetales,,10.09,733,,Actinobacteria,zzz,42615,,DOE Joint Genome Institute,sp.,,,Finished,EuI1c,649633045,649633045,
,1,Free living,,,Singles,Rod-shaped,Thermotogae,None,bacteria,,,,,Heterotroph,Thermotogaceae,Gc00649,15644,2092,Thermotoga lettingae TMO,2135342,Thermotoga,168,8.03,,Free living,37.43,783,tle,20.65,432,Methanol degrading,Motile,416591,Thermotoga lettingae TMO,Thermotogales,Anaerobe,13.05,273,,Thermotogae,Thermotoga lettingae TMO,58419,,DOE Joint Genome Institute,lettingae,,Nonsporulating,Finished,TMO,641228511,641228511,Thermophile
,2,Free living,,,"Singles, Chains",Rod-shaped,Chlorobia,None,bacteria,,,,,"Photolithoautotroph, Photosynthetic",Chlorobiaceae,Gc00092,302,2317,Chlorobium tepidum TLS,2154939,Chlorobaculum,264,11.39,,Free living,30.9,716,cte,21.67,502,Nitrogen fixation,Nonmotile,194439,Chlorobium tepidum TLS,Chlorobiales,Obligate anaerobe,6.04,140,Green sulfur,Chlorobi,zzz,57897,,J. Craig Venter Institute,tepidum,,Nonsporulating,Finished,TLS,637000073,637000073,Thermophile
,12,Symbiotic,,,Singles,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Vibrionaceae,Gc00257,12986,3984,Vibrio fischeri ES114,4284050,Aliivibrio,361,9.06,,Symbiotic,31.58,1258,vfi,17.9,713,,Motile,312309,Vibrio fischeri ES114,Vibrionales,Facultative,13.08,521,"Luminescent, Non-Pathogen",Proteobacteria,zzz,58163,,"Integrated Genomics Inc, Univ of Hawaii",fischeri,,Nonsporulating,Finished,ES114,637000334,637000334,Mesophile
,4,,,,,,Deinococci,,bacteria,,,,,,Deinococcaceae,,43461,3367,Deinococcus maricopensis DSM 21211,3498530,Deinococcus,286,8.49,,,26.55,894,dmr,17.11,576,,,709986,Deinococcus maricopensis DSM 21211,Deinococcales,,3.09,104,,Thermi,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),62225,,"DOE Joint Genome Institute, DSMZ",maricopensis,,,Finished,DSM 21211,649633034,649633034,
,1,Free living,,,,Rod-shaped,Halobacteria,None,archaea,,,,,Chemoorganotroph,Halobacteriaceae,Gc00726,106,2801,"Halobacterium salinarum R1, DSM 671",2668776,Halobacterium,226,8.07,,Free living,25.56,716,hsl,15.96,447,,Motile,478009,Halobacterium salinarum R1,Halobacteriales,Obligate aerobe,22.42,628,,Euryarchaeota,zzz,61571,Halophile,"Max Planck Institute, Max-Planck Institute",salinarum,,Nonsporulating,Finished,R1,641522631,641522631,Thermophile
,1,Free living,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Lithotroph,Bradyrhizobiaceae,Gc00298,13474,3215,Nitrobacter winogradskyi Nb-255,3402093,Nitrobacter,277,8.62,,Free living,28.27,909,nwi,18.38,591,"Nitrifying, Carbon dioxide fixation, Nitrite-oxidizer",Motile,323098,Nitrobacter winogradskyi Nb-255,Rhizobiales,Facultative,15.93,512,Biofilm,Proteobacteria,zzz,58295,,DOE Joint Genome Institute,winogradskyi,,,Finished,Nb-255,637000193,637000193,Mesophile
,1,Free living,,,Singles,Rod-shaped,Actinobacteria,Tuberculosis,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00578,15642,4019,Mycobacterium tuberculosis F11 (ExPEC),4424435,Mycobacterium,306,7.61,,Free living,27.22,1094,mtf,18.91,760,,Nonmotile,336982,Mycobacterium tuberculosis F11,Actinomycetales,Aerobe,19.23,773,Pathogen,Actinobacteria,zzz,58417,,Broad Institute,tuberculosis,,Nonsporulating,Finished,F11,640427123,640427123,Mesophile
,1,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Chemolithoautotroph,Ectothiorhodospiraceae,Gc00934,29177,3366,Thioalkalivibrio sp. HL-EbGR7,3464554,Thioalkalivibrio,246,7.31,,Free living,27.87,938,tgr,18.06,608,Sulfur oxidizer,Motile,396588,Thioalkalivibrio sulfidophilus HL-EbGr7,Chromatiales,Facultative,8.73,294,Alkalophile,Proteobacteria,CSP_777389,59179,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,HL-EbGR7,643348585,643348585,Mesophile
,5,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Alteromonadaceae,Gc00846,13374,4128,"Alteromonas macleodii Deep ecotype, DSM 17117",4412279,Alteromonas,321,7.78,,Free living,25.34,1046,amc,16.76,692,,Motile,314275,Alteromonas macleodii str. 'Deep ecotype',Alteromonadales,Aerobe,9.21,380,Barophile,Proteobacteria,zzz,58251,,"J. Craig Venter Institute, Univ Miguel Hernandez",macleodii,,,Finished,Deep ecotype',642555105,642555105,Mesophile
,1,Symbiotic,,,Singles,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Vibrionaceae,Gc00852,19393,4175,Vibrio fischeri MJ11,4503336,Aliivibrio,313,7.5,,Symbiotic,29.7,1240,vfm,17.2,718,,Motile,388396,Vibrio fischeri MJ11,Vibrionales,Facultative,13.01,543,Symbiont,Proteobacteria,zzz,58907,,"J. Craig Venter Institute, Univ of Georgia",fischeri,,Nonsporulating,Finished,MJ11,642555167,642555167,Mesophile
,2,Free living,,,,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Heterotroph,Myxococcaceae,Gc00848,19743,4551,Anaeromyxobacter sp K,5061632,Anaeromyxobacter,301,6.61,,Free living,24.79,1128,ank,16.04,730,,Motile,447217,Anaeromyxobacter sp. K,Myxococcales,Anaerobe,13.21,601,,Proteobacteria,zzz,58953,,DOE Joint Genome Institute,sp.,,Sporulating,Finished,K,642555106,642555106,Mesophile
,3,Symbiotic,,,Filaments,Filament-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Frankiaceae,Gc00658,13915,7250,Frankia sp. EAN1pec,8982042,Frankia,389,5.37,,Symbiotic,20.14,1460,fre,14.22,1031,Nitrogen fixation,Nonmotile,298653,Frankia sp. EAN1pec,Actinomycetales,Aerobe,29.17,2115,Non-Pathogen,Actinobacteria,Frankia sp. strain CcI3 Sequencing,58367,,DOE Joint Genome Institute,sp.,,Sporulating,Finished,EAN1pec,641228492,641228492,Mesophile
,1,Free living,,,,Disc-shaped,Dehalococcoidetes,None,bacteria,,,,,Chemolithotroph,Dehalococcoidaceae,Gc00558,15770,1443,Dehalococcoides sp. BAV1,1341892,Dehalococcoides,157,10.88,,Free living,34.86,503,deb,21.48,310,Dechlorinates Tetrachloroethene,Nonmotile,216389,Dehalococcoides sp. BAV1,Dehalococcoidales,Anaerobe,11.09,160,,Chloroflexi,zzz,58477,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,BAV1,640427111,640427111,Mesophile
,2,Free living,,,"Chains, Pairs, Singles",Rod-shaped,Dictyoglomia,None,bacteria,,,,,Chemoorganotroph,Dictyoglomaceae,Gc00863,30731,1964,"Dictyoglomus thermophilum H-6-12, ATCC 35947",1959987,Dictyoglomus,151,7.69,,Free living,35.79,703,dth,21.89,430,,Nonmotile,309799,Dictyoglomus thermophilum H-6-12,Dictyoglomales,Anaerobe,12.78,251,,Dictyoglomi,zzz,59439,,J. Craig Venter Institute,thermophilum,,Nonsporulating,Finished,H-6-12,643348542,643348542,Thermophile
,4,Free living,,,Singles,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Chemolithotroph,Geobacteraceae,Gc00849,17707,4106,"Geobacter bemidjiensis Bem, DSM 16622",4615150,Geobacter,307,7.48,,Free living,27.81,1142,gbm,16.76,688,Iron reducer,Nonmotile,404380,Geobacter bemidjiensis Bem,Desulfuromonadales,Anaerobe,18.58,763,,Proteobacteria,Communities GTL,58749,,DOE Joint Genome Institute,bemidjiensis,,Nonsporulating,Finished,Bem,642555129,642555129,Mesophile
,9,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,"Septicemia, Gastroenteritis",bacteria,,,,,Heterotroph,Vibrionaceae,Gc00115,349,4665,Vibrio vulnificus CMCP6,5126798,Vibrio,426,9.13,,Free living,28.75,1341,vvu,16.4,765,,Motile,216895,Vibrio vulnificus CMCP6,Vibrionales,Facultative,12.56,586,Pathogen,Proteobacteria,zzz,62909,,Chonnam National Univ,vulnificus,,Nonsporulating,Finished,CMCP6,637000336,637000336,Mesophile
,3,Free living,,,,Coccus-shaped,Methanomicrobia,None,archaea,,,,,Lithotroph,Methanosarcinaceae,Gc00093,300,3469,"Methanosarcina mazei Go1, DSM 3647",4096345,Methanosarcina,239,6.89,,Free living,24.1,836,mma,13.69,475,Methanogen,Nonmotile,192952,Methanosarcina mazei Go1,Methanosarcinales,Anaerobe,27.33,948,,Euryarchaeota,zzz,57893,,"Goettingen Genomics Laboratory, Integrated Genomics Inc",mazei,,Nonsporulating,Finished,Go1,638154509,638154509,Mesophile
,4,,Lymph nodes,,Singles,Rod-shaped,Actinobacteria,Caseous lymphadenitis,bacteria,,,,,Chemoorganotroph,Corynebacteriaceae,Gc01324,48979,2171,Corynebacterium pseudotuberculosis FRC41,2337913,Corynebacterium,208,9.58,,,33.72,732,cpu,22.2,482,,Nonmotile,765874,Corynebacterium pseudotuberculosis FRC41,Actinomycetales,Facultative,4.93,107,Pathogen,Actinobacteria,zzz,50585,,Bielefeld Univ,pseudotuberculosis,,Nonsporulating,Finished,FRC41,648028019,648028019,Mesophile
,2,Free living,,,,Coccus-shaped,Methanococci,None,archaea,,,,,Autotroph,Methanocaldococcaceae,Gc01124,33047,1808,Methanocaldococcus vulcanius M7,1761737,Methanocaldococcus,87,4.81,,Free living,30.14,545,mvu,19.47,352,,Motile,579137,Methanocaldococcus vulcanius M7,Methanococcales,Anaerobe,8.9,161,Piezophile,Euryarchaeota,"CSP_787660, Methanoarchaea",41131,,DOE Joint Genome Institute,vulcanius,,Nonsporulating,Finished,M7,646311944,646311944,Thermophile
,1,Free living,,,,Coccus-shaped,Methanomicrobia,None,archaea,,,,,Lithotroph,Methanocullaceae,Gc00512,16330,2560,"Methanoculleus marisnigri JR1, DSM 1498",2478101,Methanoculleus,233,9.1,,Free living,28.28,724,mem,17.46,447,Methanogen,Motile,368407,Methanoculleus marisnigri JR1,Methanomicrobiales,Anaerobe,17.89,458,Non-Pathogen,Euryarchaeota,Diverse archaeal organisms,58561,,DOE Joint Genome Institute,marisnigri,,Nonsporulating,Finished,JR1,640069318,640069318,Mesophile
,5,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Chemoorganotroph,Pseudoalteromonadaceae,Gc00395,13454,4405,Pseudoalteromonas atlantica T6c,5187005,Pseudoalteromonas,375,8.51,,Free living,26.67,1175,pat,18.02,794,,Motile,342610,Pseudoalteromonas atlantica T6c,Alteromonadales,Aerobe,11.6,511,,Proteobacteria,zzz,58283,,DOE Joint Genome Institute,atlantica,,Nonsporulating,Finished,T6c,637000216,637000216,Mesophile
,2,Symbiotic,,,,Filament-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Frankiaceae,Gc00412,17403,6795,Frankia alni ACN14a,7497934,Frankia,338,4.97,,Symbiotic,20.52,1394,fal,14.32,973,Nitrogen fixation,Nonmotile,326424,Frankia alni ACN14a,Actinomycetales,Aerobe,18.41,1251,Non-Pathogen,Actinobacteria,zzz,58695,,Genoscope,alni,,Sporulating,Finished,ACN14a,637000115,637000115,Mesophile
,3,Free living,,,Filaments,Filament-shaped,Chloroflexi,None,bacteria,,,,,Photosynthetic,Chloroflexaceae,Gc01077,16708,3895,Chloroflexus aggregans DSM 9485,4684931,Chloroflexus,273,7.01,,Free living,26.83,1045,cag,17.77,692,,Motile,326427,Chloroflexus aggregans DSM 9485,Chloroflexales,Facultative,12.86,501,Green non-sulfur,Chloroflexi,zzz,58621,,DOE Joint Genome Institute,aggregans,,,Finished,DSM 9485,643348527,643348527,Thermophile
,1,,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,"Photosynthetic, Phototroph",Rhodobacteraceae,Gc00448,16426,4201,Roseobacter denitrificans OCh 114,4331234,Roseobacter,321,7.64,,,33.49,1407,rde,21.45,901,,Motile,375451,Roseobacter denitrificans OCh 114,Rhodobacterales,Aerobe,10.88,457,Non-Pathogen,Proteobacteria,zzz,58597,,"Arizona State Univ, TGen",denitrificans,,,Finished,OCh 114,639633056,639633056,Mesophile
,2,Free living,,,Singles,Square-shaped,Halobacteria,None,archaea,,,,,Phototroph,Halobacteriaceae,Gc00409,17185,2914,"Haloquadratum walsbyi HBSQ001, DSM 16790",3179361,Haloquadratum,231,7.93,,Free living,27.49,801,hwa,16.54,482,,Nonmotile,362976,Haloquadratum walsbyi DSM 16790,Halobacteriales,,14.55,424,Non-Pathogen,Euryarchaeota,zzz,58673,Halophile,"Max Planck Institute, Max-Planck Institute",walsbyi,,,Finished,DSM 16790,637000129,637000129,Mesophile
,1,Free living,Oral,Gingival crevices,"Chains, Pairs, Singles",Rod-shaped,Actinobacteria,Endocarditis,bacteria,,,,,Chemoorganotroph,Coriobacteriaceae,Gc01331,36641,1841,"Olsenella uli VPI, DSM 7084",2051896,Olsenella,113,6.14,,Free living,29.22,538,ols,17.82,328,,Nonmotile,633147,Olsenella uli DSM 7084,Coriobacteriales,Anaerobe,8.47,156,,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),51367,,"DOE Joint Genome Institute, DSMZ",uli,,Nonsporulating,Finished,DSM 7084,648028047,648028047,Mesophile
,1,Free living,,,,,Dehalococcoidetes,None,bacteria,,,,,Chemolithotroph,Dehalococcoidaceae,Gc01211,36645,1483,Dehalococcoides sp. GT,1360154,Dehalococcoides,85,5.73,,Free living,31.76,471,deg,19.76,293,Dechlorinates Tetrachloroethene,Motile,633145,Dehalococcoides sp. GT,Dehalococcoidales,Anaerobe,18.41,273,,Chloroflexi,zzz,42115,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,GT,646564526,646564526,Mesophile
,1,Free living,,,"Singles, Chains, Pairs",Coccus-shaped,Thermoprotei,None,archaea,,,,,Heterotroph,Desulfurococcaceae,Gc01275,36571,1457,"Thermosphaera aggregans M11TL, DSM 11486",1316595,Thermosphaera,74,5.08,,Free living,28.07,409,tag,14.96,218,,Motile,633148,Thermosphaera aggregans DSM 11486,Desulfurococcales,Anaerobe,5.42,79,,Crenarchaeota,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),48993,,"DOE Joint Genome Institute, DSMZ",aggregans,,Nonsporulating,Finished,DSM 11486,646564583,646564583,Hyperthermophile
,3,Free living,,,Singles,Coccus-shaped,Methanococci,None,archaea,,,,,"Chemolithoautotroph, Lithotroph",Methanococcaceae,Gc00177,10632,1777,Methanococcus maripaludis S2,1661137,Methanococcus,201,11.31,,Free living,32.58,579,mmp,20.6,366,"Nitrogen fixation, Hydrogenotrophic, Methanogen",Motile,267377,Methanococcus maripaludis S2,Methanococcales,Obligate anaerobe,10.97,195,,Euryarchaeota,zzz,58035,,Univ of Washington- Seattle,maripaludis,,Nonsporulating,Finished,S2,638154506,638154506,Mesophile
,1,Free living,,,Singles,Rod-shaped,Sphingobacteria,None,bacteria,,,,,Heterotroph,Rhodothermaceae,Gc01147,29281,2965,Rhodothermus marinus DSM 4252,3386737,Rhodothermus,187,6.31,,Free living,27.99,830,rmr,19.33,573,,Nonmotile,518766,Rhodothermus marinus DSM 4252,Sphingobacteriales,Aerobe,9.75,289,,Bacteroidetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),41729,Halophile,"DOE Joint Genome Institute, DSMZ",marinus,,Nonsporulating,Finished,DSM 4252,646311949,646311949,Thermophile
,4,,,,,,Sphingobacteria,,bacteria,,,,,,Sphingobacteriaceae,,49337,3921,Pedobacter saltans DSM 12145,4635236,Pedobacter,84,2.14,,,19.51,765,psn,13.93,546,,,762903,Pedobacter saltans DSM 12145,Sphingobacteriales,,2.22,87,,Bacteroidetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),61349,,DOE Joint Genome Institute,saltans,,,Finished,DSM 12145,649633082,649633082,
,1,Free living,,,,Rod-shaped,Thermoprotei,None,archaea,,,,,Heterotroph,Thermoproteaceae,Gc01374,32589,2592,Vulcanisaeta distributa DSM 14429,2374137,Vulcanisaeta,142,5.48,,Free living,19.79,513,vdi,13.58,352,,Nonmotile,572478,Vulcanisaeta distributa DSM 14429,Thermoproteales,Anaerobe,12.19,316,,Crenarchaeota,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),52827,,"DOE Joint Genome Institute, DSMZ",distributa,,,Finished,DSM 14429,648028062,648028062,Hyperthermophile
,3,,,,,,Cytophagia,,bacteria,,,,,,Cytophagaceae,,38283,3665,Leadbetterella byssophila DSM 17132,4059653,Leadbetterella,134,3.66,,,21.64,793,lby,15.93,584,,,649349,Leadbetterella byssophila DSM 17132,Cytophagales,,3.85,141,,Bacteroidetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),60161,,"DOE Joint Genome Institute, DSMZ",byssophila,,,Finished,DSM 17132,649633063,649633063,
,3,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Phototroph,Chromatiaceae,Gc01210,32547,3366,Allochromatium vinosum DSM 180,3669074,Allochromatium,242,7.19,,Free living,29.62,997,alv,18.03,607,Sulfur oxidizer,Motile,572477,Allochromatium vinosum DSM 180,Chromatiales,Anaerobe,12.27,413,,Proteobacteria,"CSP_787726, Anoxygenic phototrophic purple sulfur bacterium",46083,,DOE Joint Genome Institute,vinosum,,Nonsporulating,Finished,DSM 180,646564502,646564502,Mesophile
,3,Symbiotic,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Chemoheterotroph,unclassified,Gc01045,30839,4308,Teredinibacter turnerae T7901,5193160,Teredinibacter,251,5.83,,Symbiotic,24,1034,ttu,15.67,675,"Dinitrogen-fixing, Cellulose degrader",Motile,377629,Teredinibacter turnerae T7901,Alteromonadales,,9.08,391,,Proteobacteria,zzz,59267,,"J. Craig Venter Institute, Univ of Maine",turnerae,,,Finished,T7901,644736410,644736410,Mesophile
,7,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,Bubonic and Pneumonic plague,bacteria,,,,,Heterotroph,Enterobacteriaceae,Gc00387,16646,4306,Yersinia pestis Nepal516,4646286,Yersinia,407,9.45,,Free living,31.86,1372,ypn,18.16,782,,Motile,377628,Yersinia pestis Nepal516,Enterobacteriales,Facultative,15.3,659,Pathogen,Proteobacteria,zzz,58609,,DOE Joint Genome Institute,pestis,,Nonsporulating,Finished,Nepal516,637000353,637000353,Mesophile
,2,Free living,,,,,Methanomicrobia,None,archaea,,,,,Lithotroph,Methanosaetaceae,Gc00452,15765,1785,Methanosaeta thermophila PT,1879471,Methanosaeta,193,10.81,,Free living,33.61,600,mtp,21.18,378,"Methanogen, Acetotrophic",Nonmotile,349307,Methanosaeta thermophila PT,Methanosarcinales,Anaerobe,10.31,184,,Euryarchaeota,zzz,58469,,DOE Joint Genome Institute,thermophila,,Nonsporulating,Finished,PT,639633038,639633038,Thermophile
,2,,,,,,Planctomycetacia,,bacteria,,,,,,Planctomycetaceae,,47863,4865,Planctomyces brasiliensis DSM 5305,6006602,Planctomyces,135,2.77,,,16.34,795,pbs,11.39,554,,,756272,Planctomyces brasiliensis DSM 5305,Planctomycetales,,5.61,273,,Planctomycetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),60583,,DOE Joint Genome Institute,brasiliensis,,,Finished,DSM 5305,649633083,649633083,
,6,Free living,,,"Pairs, Singles",Rod-shaped,Clostridia,Tetanus,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00120,81,2565,Clostridium tetani Massachusetts E88,2873333,Clostridium,257,10.02,,Free living,28.73,737,ctc,17.04,437,,Motile,212717,Clostridium tetani E88,Clostridiales,Anaerobe,15.87,407,Pathogen,Firmicutes,zzz,57683,,Goettingen Genomics Laboratory,tetani,,Sporulating,Finished,E88,637000080,637000080,Mesophile
,6,,,,,,Bacteroidia,,bacteria,,,,,,Bacteroidaceae,,40055,3838,Bacteroides salanitronis DSM 18170,4308663,Bacteroides,123,3.2,,,17.43,669,bsa,12.45,478,,,667015,Bacteroides salanitronis DSM 18170,Bacteroidales,,6.07,233,,Bacteroidetes,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),63269,,"DOE Joint Genome Institute, DSMZ",salanitronis,,,Finished,DSM 18170,649633013,649633013,
,1,Free living,,,Singles,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00497,13548,1988,Prochlorococcus marinus AS9601,1669886,Prochlorococcus,234,11.77,,Free living,34.76,691,pmb,23.09,459,,Nonmotile,146891,Prochlorococcus marinus str. AS9601,Synechococcales,,6.14,122,Non-Pathogen,Cyanobacteria,zzz,58307,,"J. Craig Venter Institute, MIT",marinus,,,Finished,str. AS9601,640069321,640069321,Mesophile
,1,Free living,,,Singles,Rod-shaped,Actinobacteria,Tuberculosis,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc01079,21055,4107,Mycobacterium tuberculosis KZN 1435 (MDR),4398250,Mycobacterium,240,5.84,,Free living,26.71,1097,mtb,18.46,758,,Nonmotile,478434,Mycobacterium tuberculosis KZN 1435,Actinomycetales,Aerobe,18.68,767,Pathogen,Actinobacteria,zzz,59069,,Broad Institute,tuberculosis,,Nonsporulating,Finished,KZN 1435,644736391,644736391,Mesophile
